id,name,year,address,email,phone_number,busness_type,country,website,is_made
1,Stone Ltd,1963,"1968 Kimberly Orchard Apt. 154, Kimberlymouth, SD 82115",washingtondavid@allen.com,236.781.5414x2279,Electronics,Serbia,https://rodriguez.com/,True
2,Barr Ltd,2013,"118 Holt Trafficway, Port Abigail, IL 88814",leah34@fernandez.com,447.844.7520x64770,Automotive,Saint Barthelemy,https://brooks.com/,False
3,Newman-Clark,1956,"37956 Guerrero Prairie Apt. 163, Devonmouth, SD 06015",johnsonjeremy@williams.info,+1-756-399-4142x14330,Textiles,Jamaica,http://www.lee-yoder.com/,False
4,"Herrera, Kelly and Wilson",1966,"402 Lisa Locks Suite 715, Bradshire, IL 98892",patriciachase@graham-davis.com,+1-008-897-4513x788,Electronics,Bolivia,https://york.com/,False
5,"Smith, Thompson and Hogan",1975,"5561 Klein Forest, Michaelshire, KS 37261",greenshane@garrett.com,995.917.8565,Pharmaceuticals,Namibia,http://harris.net/,False
6,Hutchinson-Hunter,2000,"850 Garcia Spur, Scottport, CO 17269",oblackburn@wilson.com,8659066255,Pharmaceuticals,Nicaragua,http://www.ross-martin.com/,True
7,Sutton-Grant,1999,"87329 David Roads, Cindyville, ID 02590",guerreronorman@johnson.com,001-563-520-3445,Electronics,Sudan,http://foster.com/,True
8,Collins Group,2002,"2323 Hill Way Apt. 905, Brendastad, IA 22802",davischarles@harrison.com,+1-896-363-8794,Pharmaceuticals,Christmas Island,https://www.johnson.biz/,True
9,"Matthews, Pennington and Jackson",1989,"3076 Wilcox Mission Apt. 143, North Joseph, VT 28774",matthewbennett@oconnell.biz,180-277-0731,Textiles,Bermuda,https://lawson.com/,False
10,Walsh Group,1976,"PSC 4120, Box 6940, APO AE 41937",jgonzales@owens.biz,(652)223-1992,Textiles,Bosnia and Herzegovina,http://brown.biz/,False
11,Johnson Ltd,1979,"7762 Mitchell Rest Suite 211, Kevinburgh, WY 69923",stephenwalker@ross-robinson.biz,+1-195-379-3565x5363,Textiles,Tuvalu,http://www.wagner.com/,False
12,Rios Ltd,2012,"451 Hunter Grove Apt. 223, Friedmanview, AR 59431",eric86@mckenzie.net,001-484-067-4401x389,Textiles,Mayotte,https://cervantes-watson.net/,False
13,"Gonzales, Pham and Robbins",1997,"26866 Jason Summit Suite 254, Katherineview, NM 74223",glenn22@mcclain.biz,(067)547-0245x960,Textiles,Tokelau,http://www.barnett.org/,True
14,Smith Ltd,1975,"90136 Freeman Fields, Stephanieland, MN 33805",walkermichelle@mcgee.net,405.018.2157,Automotive,Sweden,http://valentine-noble.net/,False
15,Baker and Sons,1953,"Unit 0218 Box 5965, DPO AE 58782",ycarter@howe.com,2061999725,Textiles,Pakistan,http://www.weaver.com/,False
16,Torres and Sons,1967,"292 Adam Crossroad Suite 493, New Jonathan, VA 63173",greenejacqueline@smith.com,8512444209,Electronics,Nepal,https://davis.com/,False
17,"Smith, Taylor and Lawson",1960,"7599 Cathy Courts Suite 565, Barnettmouth, CT 18884",xgibbs@cox.com,(033)063-3362,Electronics,Tonga,https://www.silva.com/,True
