id,name,year,address,email,phone_number,busness_type,country,website,operating_time,is_operated
1,Wong-Holmes,1962,"Unit 0624 Box 0806, DPO AE 76468",samantha43@scott.com,5061621735,Retail,Saudi Arabia,http://www.pace.com/,5 AM - 4 PM,1
2,Francis-Coleman,1953,"45617 Christopher Inlet Apt. 896, New Masonstad, LA 33448",grosscorey@nguyen.com,823.066.3894x1097,Wholesale,Christmas Island,http://cobb-henry.info/,7 AM - 1 PM,1
3,Moyer Inc,1979,"04955 Clark Field, Lauraland, WA 21356",kpatel@wright.com,402.178.4757x416,Retail,Pitcairn Islands,http://www.jones.com/,12 AM - 9 PM,1
4,Vargas-Harrison,2005,"Unit 6876 Box 1594, DPO AE 15184",kwang@wilson.info,001-639-070-1348x94616,Wholesale,Vietnam,http://www.brown-king.com/,3 AM - 10 PM,1
5,White-Young,1971,"843 Weeks Burg Suite 671, Lesliechester, ME 43911",larrysmith@pittman.com,875-175-0475x006,E-commerce,Taiwan,http://melton.com/,11 AM - 1 PM,1
6,Spencer-Kelly,1989,"7608 Young Coves Apt. 844, Edwardmouth, AK 56326",david15@alvarez-frazier.org,(036)329-1361x3152,Retail,Bangladesh,http://www.smith.info/,11 AM - 5 PM,1
7,Mcdaniel Group,2018,"508 Buckley Park Suite 793, Porterberg, VT 68481",hunterrichardson@harris.biz,+1-896-267-4855x9402,E-commerce,Taiwan,https://www.turner.net/,6 AM - 9 PM,0
8,Rios Inc,2008,"1034 Rachel Camp, Henrytown, VT 48882",nancylane@burch.org,317.698.4211x01071,Wholesale,Syrian Arab Republic,https://www.stokes-watson.com/,9 AM - 10 PM,1
9,Carson-Mckinney,1997,"2276 Matthew Mount Apt. 392, Lake Dawn, IA 85194",lgrant@murray-clark.com,066.699.3950x458,E-commerce,Gabon,https://cherry.info/,7 AM - 7 PM,1
10,Soto Ltd,1990,"727 Nixon Ranch Apt. 836, Bradyborough, OK 30357",kevin67@kelley.biz,422.632.3583,E-commerce,Malawi,http://rowe.com/,12 AM - 6 PM,1
11,"Burke, Gonzalez and Thompson",1975,"Unit 3723 Box 3470, DPO AE 29330",buchananbrandon@hansen.org,(626)768-5662x9910,Retail,Heard Island and McDonald Islands,https://lewis-mccullough.com/,3 AM - 3 PM,1
12,Kim-Hunter,1993,"00507 Hart Keys Suite 197, Morrisonbury, NM 27429",aaronstephenson@burke-jones.net,801.720.5086,E-commerce,Seychelles,http://www.jackson-bryant.com/,5 AM - 5 PM,1
13,"Hall, Holt and Ingram",1972,"1731 Holly Islands Suite 171, Sharonton, MN 94396",tammy36@scott-mitchell.net,775.183.7498,E-commerce,Holy See (Vatican City State),https://www.melton.org/,10 AM - 2 PM,1
