id,name,address,country,phone_number,email,length,width,height,price,minimum_capacity,maximum_capacity,safety,humidity,temperature,is_used
1,Rock Warehouse,"09452 Bryan Throughway, South Christine, AL 40289",Palestinian Territory,(214)271-8085x1136,morgancole@gmail.com,386.75,209.14,67.01,39725.47,251,1496,TERRIBLE,35.03,31.78,1
2,Page Warehouse,"36109 Torres Squares, East Gary, CO 65176",Saint Martin,4728308030,nathaniel47@mahoney-parsons.org,343.85,139.94,49.37,42508.12,239,643,GOOD,52.59,8.85,0
3,Avoid Warehouse,"72850 Middleton Forge, Port Tammy, ME 92018",Australia,001-126-332-1358x3343,sarahevans@hotmail.com,148.99,149.16,85.88,11117.05,155,1840,DECENT,85.41,-9.11,0
4,Own Warehouse,"9454 Joseph Brook Suite 505, South Andrewmouth, VA 95487",French Guiana,6587552735,preilly@hayes.com,350.68,422.07,95.84,31034.38,401,899,GOOD,84.53,21.19,1
5,Show Warehouse,"729 Morgan Key Apt. 760, Garciaport, MI 76336",Mongolia,+1-704-484-8988x455,kaylajenkins@yahoo.com,133.78,427.19,60.38,42101.72,498,1221,POOR,47.12,13.7,1
6,Record Warehouse,"172 Ruiz Extension Apt. 165, South Brandon, VA 19940",Morocco,(158)116-7452,mayogregory@king.com,70.15,493.69,37.41,31606.05,225,1126,GOOD,85.82,5.73,0
7,College Warehouse,"95675 Rachael Unions Apt. 456, Singhmouth, LA 05769",Cuba,223-203-5990,andrewramos@gibson.com,477.22,10.9,36.16,34550.95,464,1402,POOR,62.68,31.65,1
8,Forget Warehouse,"82607 Boone Shores Apt. 514, Martinhaven, MO 91311",Greece,001-828-176-4504x212,carsonjustin@sanders.com,244.6,188.23,30.86,27558.29,482,586,GOOD,52.47,31.9,1
9,Head Warehouse,"5138 James Island, West Keithshire, FL 06704",Sudan,386-284-8945,samantha65@gmail.com,436.86,376.61,30.54,23064.16,253,1555,OUTSTANDING,73.07,30.21,1
10,Simply Warehouse,"9674 Rowe Glen, South Victoriabury, DE 69281",Ghana,001-833-941-8741x129,matthewwong@hotmail.com,48.07,16.77,81.81,22003.31,279,1076,DECENT,81.57,-8.51,0
11,Pretty Warehouse,"59982 Tucker Islands, Alantown, DE 36536",Bangladesh,(695)157-4750x144,whitemelissa@hill.com,68.26,348.54,35.91,41515.08,266,798,DECENT,66.43,27.32,0
12,Never Warehouse,"608 Ramirez Lodge Apt. 701, Davisland, VT 37788",United States Virgin Islands,674.782.2730x428,holly21@walker-gutierrez.com,194.93,195.52,89.85,48320.5,356,1893,GOOD,36.36,0.9,0
13,Still Warehouse,"0300 Thomas Pine Suite 985, East Drew, AK 21860",Northern Mariana Islands,+1-324-184-3977x6028,shirleyjensen@burke-dyer.com,407.92,98.43,71.71,17313.75,238,1750,TERRIBLE,54.34,32.19,1
14,Bill Warehouse,"10767 Griffin Street Suite 775, West Xavier, MA 90636",Czech Republic,921.388.2344x0693,jessica69@roberts-nelson.com,181.44,116.65,17.75,37488.95,233,582,POOR,50.98,25.23,0
15,Believe Warehouse,"4578 Nicholson Alley, New Albertberg, IN 55303",French Southern Territories,001-711-455-5414x1233,michaelpadilla@gmail.com,383.44,413.86,40.1,42512.39,459,1331,TERRIBLE,66.32,-7.29,0
16,Final Warehouse,"00291 Jeffrey Pine, Johnstonfurt, NV 72335",Algeria,001-858-249-9977x034,jonesangela@gmail.com,60.46,271.67,31.9,47518.88,293,1768,OUTSTANDING,65.35,5.62,1
17,Control Warehouse,"26585 Burke Rest, New Wendy, IA 93523",Netherlands,551-182-2279x6707,thomas43@yahoo.com,145.21,236.38,58.03,28671.43,176,1424,GOOD,48.3,-3.21,0
